Id,Score
homerotaffinder,0.28
siulpc,0.39
carogastelums,0.2
flacidodomingo3,0.41
mchaconsisimo,0.4
pldemex,0.56
assil17,0.37
joszapl,0.5
estigmatofilia,0.25
ronincimsa,0.42
jannadeidre3016,0.15
betoaguayo7,Null
lalonow,Null
ernestocerillo,0.27
angelfeick024,0.67
sincel4rry,0.49
jespanda80,0.45
orlandoalexis14,0.31
heesica_babo,0.35
i_calderon,0.43
_carlosccc,0.26
ill_dp,0.35
benua_xd,0.75
chukininio,0.28
100tifiko_keto,Null
etche_eli,0.39
rougettez4,0.28
alfao_530,0.31
contadorclaudio,0.21
aioros1986,0.14
ibbdebrajin,0.43
horax1,0.21
jannigm,0.33
mexicoreynosa,0.28
yafaltaba,0.31
sora_02,0.18
suciodan100cia,Null
ericjihiii,0.3
unoisam,0.37
israel88046642,0.57
donmarras,0.25
letradoarmando1,0.38
hucepa,0.41
fanyfeik,0.61
chickenaileen98,Null
jsarmiento242,0.4
edox176,0.22
elpinkmanlh,0.59
sadfake01,0.14
jesus_aijem,0.23
yennijive,0.52
ajenj0u,Null
dmontiell,0.21
abigail_rbb,0.34
fernandcaslienx,Null
feikjosue,0.21
irmadzapote,0.4
ramnzig,Null
elmomero1,0.17
julianjgg1330,0.24
81omm,0.25
karo0linaleal,0.52
brayankai,0.3
kokemichel,0.26
renabarbosap,0.33
sandra50268903,0.28
starkdelmal,0.34
marvin_feik,0.31
pierdz,0.32
alexiscasas3,0.21
carlosarath123,Null
christianthome,0.42
edik123erick,0.24
brand_men2,0.42
arturofm2103,0.45
marianazl2003,0.14
mexiholkeano,Null
batholomewgrif2,0.57
jhonibarre,0.12
starteam7,0.23
miikags,Null
oscard2797,0.45
diablasrita,0.19
yorchhappy,0.36
aurorahoran55,0.34
taka_kun_owo,0.27
mazzy1212,0.42
karly85lo,0.39
sadmoon666,Null
unopinadormas2,Null
ahnadie09,0.36
suicidezd,0.3
csrcln,0.39
luisvargascoro1,Null
lustermagician,0.39
ivan_grilo,0.34
gabriela_zumaya,0.36
cuack368,0.49
kelvinnissim,0.38
holkarli,0.3
wendygrpz,Null
mussdefrijol,0.14
coreanomar,0.32
wuayandyel10z,0.35
joseph_androso,0.58
eddie7676,0.3
alanolaff2,0.68
jenefferto_,0.35
diego_sklant,0.33
annxpink_r,0.47
absoolut,0.24
pokemon_rogelio,0.34
angel100cintifi,0.23
g2jimena,0.35
star_team_,Null
liliplf,Null
karlapromesa,0.54
duxtuit,Null
roryz19,0.33
mundugumor,0.28
alejandrarochde,0.27
markuzcamachus,0.22
victorraulhf,0.2
lavozmatamoros,0.43
aanaxcastillo,0.34
soycrisg,0.39
_moiky,Null
tony_7773,0.43
lupitasanc1,0.8365714285714286
monstruoeee,0.22
dzekocr7,0.24
santiago_bv023,0.24
jessy_mrock,0.36
luztriana89,0.32
jaimesaid,0.39
josmig100,0.28
adrianvain,0.25
salmeron_ian,0.37
chukylovesoccer,0.27
zurielzaid,0.39
11elvani,0.4
blueghost_mx,0.33
hadachola,0.43
pfloydart,Null
addettorest,0.4
_edith24,Null
ramon100tifiko,0.35
hail100ciaxd,0.29
dgasga,0.43
isaacdabbah,0.48
javier_wezt,0.4
eriiz27,0.54
jorgblumen,0.24
soydeplaydoh,0.31
amabarrientos01,0.42
lineblack2,0.42
alexia_paulinep,0.1
pato_gal,0.43
rotarelpoder,0.31
pekalaserafina,0.35
rafa_cardenas_e,0.3
fernando5luis,Null
master_badger,0.25
mex_ppkreisi,Null
kamuiedi,0.25
duckeyeless,0.69
ricky_feik,0.24
jonas_555,0.34
geras26,0.33
edgarhgofficial,0.23
johndgm,0.42
lorena_cortes16,0.5
stivenordaz,Null
osamanthita,0.36
susiiparra21,0.18
octaviogaes,0.33
_silvestretres,Null
karlozpadilla4,0.33
1602eric,Null
aldo_land1,0.53
chriskaroka30,0.35
walmartmxycam,0.45
andynoxvil1,0.28
rodriestat,Null
drag0nj1,Null
luisfeikbv,Null
juanra_gomez15,Null
danyvidales12,Null
rickimsa,0.43
alheranx,0.31
angelcachondo02,Null
juanluismon,0.46
osoriochong,0.34
albertocorona01,0.46
patuco_bm,0.32
_sonrisa_azul,Null
emiliochango,0.36
yisus_feik,0.33
anonymous100cia,0.26
angelrivmon,0.34
lizcristaz,0.44
the_haunted_616,Null
korosensei_kief,0.65
hackerdavidktp,0.28
charlscharlie,0.32
joyperez,0.16
oscarcoti3,Null
pattytob,Null
i_vetta,Null
solvauce,Null
isoyronaldo,Null
elpedrro,Null
ctm100cia,Null
koestyle,Null
ario_1,Null
ysilverberg,Null
elburropedorro,Null
cquintero420,Null
elbohemio_loco,Null
el_doitorcito,Null
sugarrhoney,Null
_soypaosalinas,Null
povich1,Null
coddya2,Null
boyjefe,Null
vicas9_vica3569,Null
rocksand3,Null
juan666gamer,Null
girdany,Null
eric_1602,Null
luis100tifikoh1,Null
mvpaco11,Null
chihlango7,Null
javieroc10,Null
andreszambra17,Null
xfsd5,Null
mildra9,Null
adolfocastaedab,Null
carime93,Null
milenio,Null
gcthjesus,Null
tuca_ferretti,Null
padresolalinde,Null
aristeguionline,Null
juliocesar_cano,Null
epigmenioibarra,Null
sancadilla,Null
alicarrera,Null
elinformantemx,Null
lossimpsonmx,Null
sangrederebelde,Null
jrisco,Null
paul_pellon,Null
guruchuirer,Null
revelamexico,Null
hiletrado,Null
forbes_mexico,Null
chivas,Null
ricardorenter15,Null
laura4sham,Null
marthatagle,Null
90minutosmex2,Null
alynmon,Null
laaficion,Null
youtube,Null
doncaiman,Null
jaca6311,Null
albaniaoc,Null
virgiliocaballe,Null
mario_delgado1,Null
thumpingx,Null
mboe55,Null
weasleymala,Null
oskar2687,Null
expansionmx,Null
noticiasmvs,Null
villalvazo13,Null
ncv_violeta,Null
albertogpmx,Null
informador,Null
gabrielregino,Null
latour73,Null
prometeonuclear,Null
puzzleshifter,Null
capitalmexico,Null
nelstars,Null
pocopelo23,Null
mountains,Null
lucillyzl,Null
grillando,Null
reporte_indigo,Null
heliodoroh,Null
chedrauioficial,0.3
impagochis,0.23
mlopezsanmartin,0.28
julioastillero,0.42
romanolo,0.34
ramkarc,0.37
taller2006,0.4
alomortiz,0.42
estadodemexico_,0.41
carlosdiazayoub,0.37
twitter,0.43
lupitajuarezh,0.32
jenarovillamil,0.46
quienesonmx,0.58
el_produ,0.24
mkamacho,0.36
mileniohidalgo,0.41
joseameadek,0.36
univ_metropoli,0.4
lioneljonson,0.2
maroontorres,0.41
letras_libres,0.36
televisaapesta_,0.39
alerta_ecatepec,0.44
monerorape,0.3
capsnarrador,0.19
chiquimarcomx,0.39
mtyfollow,0.34
publimetromx,0.36
excelsior,0.4
_sede_mx,0.31
tachibiworld,0.29
vicentelozadab,0.42
elprestone,0.09
solidaridad1000,0.45
elsolde_mexico,0.42
giovanniputzu,0.64
ecatepeccom,0.43
attimesmx,0.37
cnnmex,0.49
porialibre,0.48
saos50,0.4
cosapublica2,0.35
ricardoalemanmx,0.37
